transaction_id,customer_id,transaction_date,channel,payment_method,product_category,quantity,unit_price,transaction_amount
T0005811,C00959,2019-03-10,Mobile App,Cash,Toys,1,896.32,896.32
T0001863,C00305,2019-03-11,Mobile App,Credit Card,Clothing,3,237.32,711.97
T0002410,C00398,2019-03-12,Web,Wallet,Home & Kitchen,3,443.47,1330.41
T0000493,C00077,2019-03-13,Mobile App,Credit Card,Sports,1,1267.47,1267.47
T0006340,C01046,2019-03-16,Mobile App,Credit Card,Clothing,1,447.9,447.9
T0009492,C01574,2019-03-18,Mobile App,Credit Card,Toys,2,2109.48,4218.95
T0001327,C00218,2019-03-19,Web,Wallet,Toys,1,1798.66,1798.66
T0000991,C00164,2019-03-20,Web,Cash,Home & Kitchen,1,1250.47,1250.47
T0008808,C01455,2019-03-20,In-Store,Credit Card,Electronics,3,828.45,2485.36
T0009854,C00034,2019-03-20,Mobile App,Wallet,Beauty,1,1712.34,1712.34
T0001029,C00169,2019-03-24,Mobile App,Debit Card,Electronics,4,218.38,873.52
T0000361,C00060,2019-03-24,Web,Debit Card,Clothing,4,709.55,2838.18
T0008582,C01416,2019-03-26,Mobile App,,Clothing,1,2070.37,2070.37
T0007590,C01253,2019-03-27,,Credit Card,Beauty,3,470.35,1411.05
T0003208,C00535,2019-03-27,Mobile App,Wallet,Clothing,3,370.08,1110.25
T0000488,C00077,2019-03-27,Mobile App,Cash,Sports,1,2088.85,2088.85
T0006125,C01012,2019-03-28,In-Store,Cash,Electronics,1,601.48,601.48
T0004215,C00706,2019-03-29,Web,Debit Card,Toys,1,748.61,748.61
T0004955,C00825,2019-03-29,In-Store,Debit Card,Books,4,551.82,2207.29
T0005464,C00911,2019-03-31,Mobile App,Debit Card,Books,2,647.46,1294.92
T0008033,C01325,2019-04-01,Mobile App,Cash,Beauty,3,249.89,749.68
T0000487,C00077,2019-04-03,In-Store,Debit Card,Clothing,2,1253.04,2506.08
T0000568,C00090,2019-04-04,In-Store,Cash,Beauty,2,154.46,308.92
T0004336,C00725,2019-04-04,Web,Credit Card,Electronics,2,1406.04,2812.08
T0004572,C00761,2019-04-06,Mobile App,Debit Card,Sports,11,55.9,614.91
T0004605,C00766,2019-04-06,Mobile App,Credit Card,Books,1,1874.91,1874.91
T0003550,C00596,2019-04-07,Mobile App,Debit Card,Clothing,2,692.95,1385.91
T0005709,C00947,2019-04-09,In-Store,Credit Card,Toys,1,1066.62,1066.62
T0009770,C00021,2019-04-10,Web,Wallet,Beauty,4,637.88,2551.5
T0008852,C01463,2019-04-10,Web,Cash,Clothing,1,1963.06,1963.06
T0003815,C00640,2019-04-11,Web,Debit Card,Clothing,1,1300.34,1300.34
T0000179,C00029,2019-04-12,Web,Cash,Sports,1,1068.12,1068.12
T0000134,C00021,2019-04-13,Web,Debit Card,Sports,2,1424.49,2848.97
T0000330,C00055,2019-04-13,Web,Cash,Clothing,3,477.45,1432.36
T0002221,C00365,2019-04-13,Web,Cash,Sports,3,496.24,1488.73
T0006331,C01045,2019-04-13,Web,Credit Card,Clothing,3,362.48,1087.44
T0000580,C00092,2019-04-13,Mobile App,Credit Card,Sports,2,1452.63,2905.26
T0001551,C00254,2019-04-14,Web,Cash,Home & Kitchen,1,1840.36,1840.36
T0003877,C00649,2019-04-14,Web,Debit Card,Beauty,1,1522.03,1522.03
T0004441,C00741,2019-04-15,Web,Debit Card,Books,2,706.97,1413.94
T0009043,C01498,2019-04-16,In-Store,Debit Card,Electronics,1,1490.08,1490.08
T0000920,C00151,2019-04-16,Mobile App,Debit Card,Toys,1,3829.21,3829.21
T0004789,C00795,2019-04-17,Mobile App,Credit Card,Beauty,1,3793.07,3793.07
T0000968,C00160,2019-04-19,In-Store,Cash,Electronics,1,3022.7,3022.7
T0003212,C00535,2019-04-19,Web,Cash,Beauty,1,2554.77,2554.77
T0004856,C00807,2019-04-19,Web,Cash,Books,1,604.22,604.22
T0002863,C00477,2019-04-21,Mobile App,Wallet,Home & Kitchen,4,541.43,2165.73
T0003042,C00508,2019-04-21,In-Store,Cash,Sports,3,486.66,1459.97
T0009074,C01505,2019-04-22,In-Store,Wallet,Books,1,1573.65,1573.65
T0005466,C00911,2019-04-22,Mobile App,Cash,Books,1,4418.23,4418.23
T0000788,C00129,2019-04-22,In-Store,Credit Card,Toys,2,2013.78,4027.55
T0000101,C00017,2019-04-23,In-Store,Credit Card,Sports,1,1242.01,1242.01
T0008929,C01477,2019-04-23,In-Store,Debit Card,Books,1,1225.47,1225.47
T0007452,C01229,2019-04-24,In-Store,Credit Card,Home & Kitchen,1,1446.93,1446.93
T0007135,C01177,2019-04-24,Mobile App,Credit Card,Electronics,2,636.36,1272.72
T0005238,C00876,2019-04-25,Mobile App,Cash,Toys,1,1218.86,1218.86
T0002140,C00348,2019-04-26,In-Store,Cash,Electronics,1,2235.3,2235.3
T0007215,C01191,2019-04-26,Web,Credit Card,Electronics,1,1352.69,1352.69
T0007000,C01157,2019-04-27,Mobile App,Credit Card,Toys,1,2486.34,2486.34
T0009132,C01515,2019-04-28,Mobile App,Wallet,Home & Kitchen,1,1265.6,1265.6
T0005970,C00987,2019-04-28,Mobile App,Debit Card,Books,2,279.04,558.08
T0005434,C00906,2019-04-29,Mobile App,Debit Card,Clothing,2,237.92,475.85
T0000215,C00034,2019-05-01,In-Store,Wallet,Sports,2,1551.69,3103.39
T0004040,C00676,2019-02-05,Web,Credit Card,Beauty,3,492.83,1478.48
T0000526,C00082,2019-05-02,Mobile App,Wallet,Toys,1,1395.5,1395.5
T0005989,C00989,2019-05-04,Mobile App,Debit Card,Clothing,1,683.27,683.27
T0006545,C01080,2019-05-05,Web,Debit Card,Toys,3,736.18,2208.54
T0008923,C01477,2019-05-05,In-Store,Credit Card,Sports,2,662.85,1325.71
T0003466,C00580,2019-05-05,Mobile App,Credit Card,Beauty,1,985.59,985.59
T0002538,C00418,2019-05-06,Mobile App,Debit Card,Clothing,1,2447.38,2447.38
T0005722,C00949,2019-05-06,Mobile App,Credit Card,Sports,1,821.76,821.76
T0004108,C00687,2019-05-06,Mobile App,,Clothing,2,401.3,802.6
T0009620,C01597,2019-05-06,Mobile App,Debit Card,Toys,3,274.73,824.19
T0006829,C01132,2019-05-08,In-Store,Debit Card,Books,1,1122.5,1122.5
T0000936,C00154,2019-05-08,Mobile App,Credit Card,Books,4,96.33,385.3
T0000971,C00160,2019-05-08,Web,Credit Card,Beauty,3,259.48,778.45
T0005319,C00889,2019-05-10,Web,Debit Card,Clothing,1,1000.63,1000.63
T0007134,C01177,2019-05-10,Web,Debit Card,Electronics,2,2252.08,4504.15
T0001394,C00230,2019-05-11,Mobile App,Cash,Toys,3,854.51,2563.53
T0009614,C01596,2019-05-11,Mobile App,Credit Card,Books,1,662.55,662.55
T0001272,C00209,2019-05-12,In-Store,Cash,Electronics,1,523.86,523.86
T0001680,C00277,2019-05-15,Mobile App,Wallet,Home & Kitchen,1,2033.39,2033.39
T0002611,C00431,2019-05-15,Web,Credit Card,Home & Kitchen,3,1049.31,3147.94
T0007464,C01231,2019-05-17,Web,Credit Card,Books,2,381.26,762.52
T0008889,C01470,2019-05-18,Web,Debit Card,Books,2,950.92,1901.84
T0000549,C00086,2019-05-19,Web,Wallet,Toys,1,536.59,536.59
T0008335,C01374,2019-05-22,Web,Debit Card,Home & Kitchen,1,1241.17,1241.17
T0003643,C00611,2019-05-22,Web,Wallet,Clothing,1,2057.07,2057.07
T0005929,C00980,2019-05-24,Web,Credit Card,Toys,1,696.14,696.14
T0004852,C00807,2019-05-24,Mobile App,Cash,Electronics,4,366.64,1466.55
T0004909,C00818,2019-05-25,In-Store,Credit Card,Electronics,3,501.93,1505.78
T0004831,C00802,2019-05-26,Mobile App,Credit Card,Sports,2,598.06,1196.12
T0000201,C00032,2019-05-26,Web,Credit Card,Electronics,1,993.12,993.12
T0002783,C00463,2019-05-26,Mobile App,Cash,Toys,1,2354.06,2354.06
T0003646,C00611,2019-05-27,In-Store,Credit Card,Beauty,2,1937.64,3875.27
T0009450,C01567,2019-05-28,Web,Credit Card,Beauty,1,2323.8,2323.8
T0007962,C01315,2019-05-28,Web,Credit Card,Books,3,1484.45,4453.35
T0009987,C00055,2019-05-28,In-Store,Credit Card,Beauty,1,3339.71,3339.71
T0002537,C00418,2019-05-28,Mobile App,Cash,Books,1,2826.64,2826.64
T0003636,C00609,2019-05-29,In-Store,Debit Card,Electronics,1,1379.64,1379.64
T0004647,C00771,2019-05-30,Web,Credit Card,Home & Kitchen,1,1097.18,1097.18
T0001931,C00317,2019-05-30,Mobile App,Debit Card,Electronics,2,1123.24,2246.47
T0000785,C00128,2019-05-30,Mobile App,Cash,Home & Kitchen,1,2300.82,2300.82
T0005420,C00905,2019-05-30,In-Store,Wallet,Electronics,4,388.25,1553.01
T0001254,C00206,2019-05-31,Web,Debit Card,Electronics,1,1132.4,1132.4
T0006820,C01130,2019-05-31,Web,Wallet,Beauty,1,969.02,969.02
T0000964,C00159,2019-05-31,Web,Cash,Electronics,1,1043.88,1043.88
T0008682,C01432,2019-06-01,In-Store,Debit Card,Clothing,2,2132.03,4264.07
T0002918,C00487,2019-06-01,Mobile App,Credit Card,Sports,1,1052.88,1052.88
T0000884,C00144,2019-06-01,Web,Credit Card,Clothing,1,3500.49,3500.49
T0001715,C00283,2019-06-02,Mobile App,Credit Card,Home & Kitchen,1,1452.63,1452.63
T0005726,C00949,2019-06-09,Mobile App,Credit Card,Clothing,2,887.39,1774.77
T0003672,C00617,2019-06-10,In-Store,Debit Card,Toys,1,2242.34,2242.34
T0003279,C00546,2019-06-10,Web,,Home & Kitchen,1,1733.41,1733.41
T0001718,C00283,2019-06-10,Web,Cash,Beauty,3,912.11,2736.32
T0005391,C00901,2019-06-12,Web,Credit Card,Electronics,1,3236.13,3236.13
T0003854,C00645,2019-06-12,Web,Cash,Clothing,2,1766.74,3533.48
T0008221,C01355,2019-06-12,Web,Credit Card,Electronics,2,1176.34,2352.68
T0001822,C00299,2019-06-12,In-Store,Debit Card,Beauty,1,1757.21,1757.21
T0009581,C01589,2019-06-12,Web,Debit Card,Sports,1,2426.33,2426.33
T0008397,C01385,2019-06-13,Mobile App,Cash,Home & Kitchen,1,2329.56,2329.56
T0005808,C00959,2019-06-14,Mobile App,Credit Card,Home & Kitchen,2,736.27,1472.54
T0004136,C00691,2019-06-14,Mobile App,Cash,Home & Kitchen,4,587.28,2349.12
T0001722,C00284,2019-06-14,In-Store,Credit Card,Books,1,2051.17,2051.17
T0003178,C00531,2019-06-15,Web,Credit Card,Home & Kitchen,2,898.8,1797.6
T0002723,C00451,2019-06-15,Mobile App,Credit Card,Clothing,3,505.9,1517.69
T0007805,C01287,2019-06-15,In-Store,Credit Card,Clothing,2,914.31,1828.61
T0003285,C00547,2019-06-15,Web,Cash,Toys,1,3986.37,3986.37
T0008821,C01458,2019-06-15,Web,Debit Card,Toys,3,336.56,1009.67
T0002764,C00459,2019-06-15,In-Store,Cash,Toys,1,1817.31,1817.31
T0000105,C00017,2019-06-15,Mobile App,Credit Card,Toys,2,1413.12,2826.24
T0004577,C00762,2019-06-17,In-Store,Cash,Clothing,1,694.34,694.34
T0009642,C00001,2019-06-19,Mobile App,Debit Card,Beauty,2,892.25,1784.5
T0005875,C00970,2019-06-19,,Credit Card,Home & Kitchen,2,544.28,1088.57
T0002870,C00479,2019-06-20,Web,Debit Card,Beauty,6,1019.51,6117.06
T0004373,C00731,2019-06-20,In-Store,Credit Card,Clothing,1,687.69,687.69
T0005419,C00904,2019-06-20,Mobile App,Cash,Toys,2,772.42,1544.84
T0002071,C00337,2019-06-21,Web,Debit Card,Toys,1,4817.05,4817.05
T0007001,C01157,2019-06-23,Mobile App,Debit Card,Home & Kitchen,1,1359.82,1359.82
T0001796,C00295,2019-06-23,Mobile App,Credit Card,Sports,1,640.64,640.64
T0007605,C01255,2019-06-24,In-Store,Debit Card,Beauty,1,2369.28,2369.28
T0004608,C00766,2019-06-25,Web,Credit Card,Home & Kitchen,4,211.31,845.22
T0000182,C00029,2019-06-25,Mobile App,Debit Card,Home & Kitchen,1,642.79,642.79
T0001384,C00228,2019-06-26,Web,Credit Card,Beauty,3,831.58,2494.75
T0005120,C00853,2019-06-27,Web,Wallet,Books,1,1822.38,1822.38
T0009006,C01490,2019-06-27,Web,Debit Card,Beauty,3,282.7,848.1
T0003641,C00610,2019-06-27,Web,Cash,Home & Kitchen,1,1518.25,1518.25
T0008213,C01353,2019-06-28,In-Store,Credit Card,Books,1,2554.01,2554.01
T0001416,C00233,2019-06-28,Web,Cash,Home & Kitchen,3,521.42,1564.26
T0005955,C00985,2019-06-29,Mobile App,Cash,Clothing,1,2051.54,2051.54
T0009198,C01528,2019-06-29,Web,Credit Card,Beauty,1,435.43,435.43
T0005253,C00877,2019-06-29,Web,Debit Card,Home & Kitchen,1,759.78,759.78
T0006718,C01112,2019-06-30,Mobile App,Credit Card,Sports,1,2868.65,2868.65
T0000326,C00054,2019-06-30,Mobile App,Wallet,Books,2,1159.88,2319.76
T0002412,C00398,2019-07-01,In-Store,Cash,Clothing,1,1074.41,1074.41
T0004941,C00823,2019-07-02,Web,Cash,Books,1,2420.95,2420.95
T0007911,C01306,2019-07-02,Mobile App,Debit Card,Electronics,2,595.27,1190.54
T0004135,C00691,2019-07-03,Web,Debit Card,Toys,1,2250.04,2250.04
T0005764,C00953,2019-07-03,Mobile App,Cash,Electronics,1,823.02,823.02
T0003522,C00590,2019-07-03,Web,Credit Card,Clothing,1,1351.85,1351.85
T0006732,C01115,2019-07-03,Web,Credit Card,Home & Kitchen,1,1318.06,1318.06
T0002032,C00332,2019-07-05,Mobile App,Wallet,Clothing,2,519.3,1038.6
T0005427,C00906,2019-07-05,Web,Credit Card,Books,1,1902.12,1902.12
T0000967,C00159,2019-07-06,Web,Credit Card,Books,4,569.99,2279.97
T0001471,C00241,2019-07-07,Web,Cash,Home & Kitchen,1,3571.45,3571.45
T0008275,C01364,2019-07-08,Mobile App,Wallet,Books,3,718.98,2156.94
T0001137,C00185,2019-07-08,Web,Debit Card,Electronics,1,2349.33,2349.33
T0003983,C00668,2019-07-09,Web,Credit Card,Toys,3,665.87,1997.62
T0008973,C01486,2019-07-09,Web,Credit Card,Electronics,1,2111.14,2111.14
T0006860,C01138,2019-07-09,Mobile App,Debit Card,Electronics,1,834.13,834.13
T0001372,C00226,2019-07-10,Web,Cash,Clothing,1,719.71,719.71
T0003340,C00556,2019-07-10,Mobile App,Debit Card,Home & Kitchen,1,5347.14,5347.14
T0003079,C00514,2019-07-10,Mobile App,Debit Card,Home & Kitchen,3,385.44,1156.31
T0004284,C00715,2019-07-11,In-Store,Credit Card,Sports,2,760.09,1520.18
T0001414,C00233,2019-07-12,Mobile App,Credit Card,Clothing,3,534.22,1602.65
T0004139,C00692,2019-07-12,In-Store,Debit Card,Toys,2,269.37,538.73
T0000011,C00002,2019-07-12,Web,Credit Card,Beauty,1,1058.33,1058.33
T0005048,C00841,2019-07-13,Mobile App,Debit Card,Home & Kitchen,1,3253.5,3253.5
T0006127,C01013,2019-07-13,Web,Credit Card,Toys,1,1714.34,1714.34
T0004004,C00670,2019-07-13,Web,,Home & Kitchen,3,278.51,835.52
T0001273,C00209,2019-07-13,Web,Wallet,Toys,2,850.7,1701.4
T0008050,C01328,2019-07-13,Web,Cash,Beauty,1,2454.89,2454.89
T0002274,C00374,2019-07-14,In-Store,Credit Card,Books,1,2550.92,2550.92
T0001744,C00288,2019-07-14,Mobile App,Credit Card,Clothing,1,252.92,252.92
T0002909,C00485,2019-07-17,In-Store,Credit Card,Home & Kitchen,1,1227.13,1227.13
T0002965,C00496,2019-07-18,Web,Debit Card,Books,1,1595.06,1595.06
T0005837,C00964,2019-07-18,Web,Cash,Clothing,1,539.26,539.26
T0005873,C00969,2019-07-19,Web,Cash,Clothing,5,249.97,1249.84
T0001371,C00226,2019-07-19,Mobile App,Credit Card,Books,3,1235.97,3707.92
T0001616,C00266,2019-07-20,Web,Debit Card,Home & Kitchen,1,1056.85,1056.85
T0002065,C00337,2019-07-21,Web,Credit Card,Beauty,1,1206.15,1206.15
T0006341,C01046,2019-07-21,Mobile App,Credit Card,Beauty,2,992.38,1984.77
T0004786,C00795,2019-07-22,Web,Credit Card,Home & Kitchen,4,362.49,1449.94
T0004544,C00756,2019-07-23,Web,Cash,Home & Kitchen,6,150.01,900.04
T0006186,C01023,2019-07-24,Web,Wallet,Toys,1,823.12,823.12
T0003851,C00645,2019-07-24,Web,Credit Card,Books,1,1115.49,1115.49
T0002417,C00399,2019-07-25,Mobile App,Credit Card,Sports,1,688.02,688.02
T0007596,C01253,2019-07-25,,Credit Card,Sports,1,1140.59,1140.59
T0002729,C00453,2019-07-25,Web,Debit Card,Home & Kitchen,2,655.2,1310.39
T0003837,C00642,2019-07-25,Mobile App,Debit Card,Books,1,976.99,976.99
T0001739,C00288,2019-07-25,Web,Credit Card,Sports,1,1921.88,1921.88
T0001281,C00210,2019-07-25,Mobile App,Debit Card,Sports,6,332.13,1992.77
T0001063,C00175,2019-07-26,Web,Credit Card,Electronics,1,1286.51,1286.51
T0004347,C00727,2019-07-26,Mobile App,Credit Card,Beauty,3,603.46,1810.39
T0005033,C00838,2019-07-26,In-Store,Debit Card,Electronics,1,2284.4,2284.4
T0006361,C01049,2019-07-27,Mobile App,Credit Card,Electronics,1,439.82,439.82
T0002031,C00331,2019-07-27,Mobile App,Cash,Toys,1,2122.92,2122.92
T0004603,C00765,2019-07-27,Web,Cash,Books,1,485.39,485.39
T0000780,C00128,2019-07-28,Mobile App,Cash,Home & Kitchen,3,668.55,2005.66
T0003111,C00520,2019-07-28,,Debit Card,Beauty,1,1721.54,1721.54
T0001597,C00262,2019-07-28,Web,Credit Card,Home & Kitchen,1,1423.45,1423.45
T0005760,C00953,2019-07-29,Web,Wallet,Toys,1,1707.98,1707.98
T0005426,C00906,2019-07-30,Web,Debit Card,Toys,2,530.28,1060.56
T0004281,C00715,2019-07-31,Web,Credit Card,Home & Kitchen,1,377.14,377.14
T0008156,C01345,2019-07-31,Web,Credit Card,Home & Kitchen,1,1307.06,1307.06
T0006443,C01063,2019-07-31,Web,Credit Card,Books,1,627.37,627.37
T0004210,C00704,2019-07-31,Web,Wallet,Sports,1,1015.49,1015.49
T0000586,C00093,2019-07-31,Web,Wallet,Electronics,1,2487.24,2487.24
T0000351,C00058,2019-08-02,Web,Wallet,Sports,2,797.74,1595.48
T0009117,C01512,2019-08-02,In-Store,Cash,Books,1,875.85,875.85
T0009754,C00019,2019-08-02,Web,Credit Card,Beauty,1,907.39,907.39
T0009100,C01509,2019-08-03,Web,Credit Card,Electronics,1,1130.94,1130.94
T0001823,C00299,2019-08-03,Web,Wallet,Books,1,2574.42,2574.42
T0003026,C00506,2019-08-03,Web,Credit Card,Home & Kitchen,1,1095.59,1095.59
T0004658,C00773,2019-08-04,Web,Credit Card,Home & Kitchen,1,444.46,444.46
T0000168,C00026,2019-08-05,Mobile App,Credit Card,Books,1,1479.52,1479.52
T0001268,C00208,2019-08-06,In-Store,Cash,Home & Kitchen,2,377.72,755.44
T0008159,C01345,2019-08-07,Mobile App,Credit Card,Home & Kitchen,1,1270.01,1270.01
T0006585,C01086,2019-08-07,Web,Credit Card,Clothing,3,719.98,2159.94
T0000288,C00047,2019-08-07,Web,Cash,Sports,1,1975.11,1975.11
T0006651,C01101,2019-08-07,Mobile App,Cash,Electronics,1,1077.95,1077.95
T0008926,C01477,2019-08-08,Mobile App,Credit Card,Books,1,5113.05,5113.05
T0007434,C01227,2019-08-08,Web,Credit Card,Home & Kitchen,2,514.72,1029.43
T0000377,C00062,2019-08-08,Web,Credit Card,Books,1,1179.18,1179.18
T0001412,C00233,2019-08-08,Web,Debit Card,Toys,2,632.54,1265.07
T0000748,C00123,2019-08-08,Mobile App,Wallet,Sports,2,728.07,1456.14
T0001720,C00284,2019-08-09,Mobile App,Debit Card,Books,3,353.09,1059.28
T0007137,C01177,2019-08-09,Mobile App,Debit Card,Sports,3,527.31,1581.94
T0003487,C00585,2019-08-09,Web,Cash,Books,2,611.41,1222.82
T0002609,C00431,2019-08-10,Web,,Books,2,1175.56,2351.12
T0007338,C01211,2019-08-10,Web,Credit Card,Beauty,1,1271.03,1271.03
T0002226,C00366,2019-08-11,Web,Debit Card,Books,1,1786.87,1786.87
T0002961,C00495,2019-08-11,Web,Credit Card,Electronics,1,889.59,889.59
T0008516,C01407,2019-08-11,Mobile App,Wallet,Clothing,2,482.23,964.46
T0004323,C00722,2019-08-11,,Cash,Clothing,2,673.95,1347.91
T0007663,C01264,2019-08-11,Mobile App,Credit Card,Home & Kitchen,4,1229.8,4919.21
T0005530,C00920,2019-08-11,In-Store,Cash,Toys,1,1451.97,1451.97
T0008212,C01353,2019-08-12,Mobile App,Credit Card,Sports,1,938.79,938.79
T0006819,C01130,2019-08-12,Web,Cash,Beauty,1,2789.58,2789.58
T0000452,C00073,2019-08-13,Web,Cash,Toys,1,1243.22,1243.22
T0001241,C00204,2019-08-13,Web,Cash,Home & Kitchen,4,526.03,2104.12
T0005827,C00962,2019-08-14,Web,Wallet,Sports,1,933.63,933.63
T0009753,C00018,2019-08-14,Mobile App,Wallet,Toys,1,990.98,990.98
T0000976,C00161,2019-08-14,Mobile App,Wallet,Home & Kitchen,2,1683.26,3366.51
T0003142,C00526,2019-08-15,In-Store,Debit Card,Electronics,2,800.6,1601.2
T0008806,C01454,2019-08-15,Web,Debit Card,Books,1,1752.42,1752.42
T0008030,C01325,2019-08-15,Web,Wallet,Books,3,436.26,1308.79
T0006582,C01086,2019-08-16,Mobile App,Cash,Clothing,4,1003.52,4014.06
T0007829,C01291,2019-08-16,Web,Cash,Beauty,5,544.67,2723.33
T0003879,C00649,2019-08-16,Web,Credit Card,Electronics,1,868.01,868.01
T0001849,C00303,2019-08-16,Mobile App,Credit Card,Electronics,1,1275.4,1275.4
T0007253,C01197,2019-08-16,Web,Debit Card,Clothing,1,1243.33,1243.33
T0003673,C00617,2019-08-16,Mobile App,Credit Card,Electronics,8,162.91,1303.27
T0005834,C00963,2019-08-16,In-Store,Credit Card,Toys,1,3869.04,3869.04
T0000767,C00127,2019-08-17,Web,Credit Card,Clothing,1,1834.65,1834.65
T0005829,C00962,2019-08-17,Web,Debit Card,Home & Kitchen,1,1508.32,1508.32
T0000812,C00133,2019-08-18,In-Store,Credit Card,Home & Kitchen,1,1295.14,1295.14
T0002553,C00420,2019-08-18,In-Store,Debit Card,Electronics,2,1483.45,2966.9
T0007908,C01305,2019-08-18,Mobile App,Credit Card,Sports,1,1404.74,1404.74
T0000590,C00094,2019-08-19,Mobile App,Cash,Sports,2,819.2,1638.4
T0003802,C00638,2019-08-20,Mobile App,Credit Card,Clothing,2,2540.22,5080.43
T0003896,C00652,2019-08-20,Mobile App,Credit Card,Clothing,2,1050.21,2100.42
T0003075,C00514,2019-08-21,Web,Credit Card,Beauty,2,1021.4,2042.79
T0000948,C00156,2019-08-22,Mobile App,Cash,Sports,2,607.27,1214.53
T0008589,C01417,2019-08-22,Mobile App,Debit Card,Sports,2,431.48,862.96
T0006201,C01025,2019-08-23,Web,Credit Card,Clothing,1,1721.24,1721.24
T0003164,C00529,2019-08-23,Web,Cash,Sports,1,1374.87,1374.87
T0006567,C01084,2019-08-23,Web,Credit Card,Sports,1,458.96,458.96
T0009210,C01530,2019-08-23,Mobile App,,Beauty,2,733.9,1467.8
T0004155,C00695,2019-08-24,Mobile App,Debit Card,Books,1,1322.83,1322.83
T0007834,C01291,2019-08-25,Mobile App,Credit Card,Home & Kitchen,1,517.67,517.67
T0009605,C01595,2019-08-25,,Debit Card,Electronics,1,2015.79,2015.79
T0000700,C00112,2019-08-25,Mobile App,Credit Card,Beauty,2,1324.63,2649.27
T0003076,C00514,2019-08-25,Web,Debit Card,Beauty,2,344.66,689.32
T0001418,C00233,2019-08-26,,Debit Card,Electronics,2,370.26,740.52
T0003381,C00564,2019-08-26,In-Store,Credit Card,Sports,3,706.86,2120.58
